日期,标题,链接,浏览次数
2020-01-14,【新京报】程建平：将辅仁大学旧址打造成中国文化传播基地,http://news.bnu.edu.cn/zx/ttgz/115131.htm,502
2020-01-14,法国高等教育、研究与创新部长维达尔率团访问北京师范大学,http://news.bnu.edu.cn/zx/ttgz/115114.htm,455
2020-01-13,北京师范大学召开“不忘初心、牢记使命”主题教育总结大会,http://news.bnu.edu.cn/zx/ttgz/115112.htm,447
2020-01-13,【光明日报】韩震“核心价值观百场讲坛”工作座谈会发言,http://news.bnu.edu.cn/zx/ttgz/115098.htm,477
2020-01-10,北京师范大学党委理论学习中心组专题学习习近平总书记在“不忘初心、牢记使命”主题教育总结大会上重要讲话精神和《2019—2023年全国党政领导班子建设规划纲要》精神,http://news.bnu.edu.cn/zx/ttgz/115087.htm,445
2020-01-10,北京师范大学召开2019年度校领导班子与成员考核述职暨干部选拔任用“一报告两评议”会议,http://news.bnu.edu.cn/zx/ttgz/115071.htm,740
2020-01-10,北京师范大学召开2019年度中层领导班子和领导干部述职评议会,http://news.bnu.edu.cn/zx/ttgz/115057.htm,1643
2020-01-08,北京师范大学党委获评第二批全国党建工作示范高校培育创建单位,http://news.bnu.edu.cn/zx/ttgz/115033.htm,1607
2020-01-08,2019，精彩依旧 北师大“月度汉字”·年度新闻盘点,http://news.bnu.edu.cn/zx/ttgz/115011.htm,1458
2020-01-07,北师大19个专业入选首批国家级一流本科专业建设点,http://news.bnu.edu.cn/zx/ttgz/115020.htm,8156
2020-01-06,【光明日报】韩震：新时代加强公民道德建设的重要意义,http://news.bnu.edu.cn/zx/ttgz/114966.htm,1083
2020-01-06,学校召开离退休教职工校情通报会,http://news.bnu.edu.cn/zx/ttgz/114982.htm,1677
2020-01-02,北京师范大学党委理论学习中心组专题学习习近平总书记在中央政治局第十九次集体学习时的重要讲话精神,http://news.bnu.edu.cn/zx/ttgz/114933.htm,1109
2020-01-02,北京师范大学举办“颂祖国、庆元旦”新年联欢会,http://news.bnu.edu.cn/zx/ttgz/114913.htm,1825
2019-12-31,【光明日报】韩震：推动理想信念教育常态化制度化,http://news.bnu.edu.cn/zx/ttgz/114882.htm,308
2019-12-31,北师大召开2018-2019学年度表彰大会,http://news.bnu.edu.cn/zx/ttgz/114879.htm,2624
2019-12-31,北师大举办中小学（中职）语文国家教材建设重点研究基地揭牌仪式暨语文教材建设学术研讨会,http://news.bnu.edu.cn/zx/ttgz/114878.htm,945
2019-12-30,《2019中央企业、中国大学、中国城市海外网络传播力系列报告》在北师大发布,http://news.bnu.edu.cn/zx/ttgz/114850.htm,618
2019-12-26,董奇主持召开内部控制建设领导小组会议,http://news.bnu.edu.cn/zx/ttgz/114810.htm,1122
2019-12-25,冯刚、王振：以文化人在国家治理现代化中的价值意蕴,https://mp.weixin.qq.com/s/EhtZM6LdFoGXaZO-gtVmeQ,1
2019-12-20,广东省政府副秘书长陈岸明一行调研北师大,http://news.bnu.edu.cn/zx/ttgz/114568.htm,1378
2019-12-20,程建平赴珠海园区调研 ,http://news.bnu.edu.cn/zx/ttgz/114556.htm,2369
2019-12-19,北师大举行第二十届十佳大学生评选大会暨颁奖典礼,http://news.bnu.edu.cn/zx/ttgz/114536.htm,2214
2019-12-19,北师大举办“聚力青海·闪耀青春”青海省2019年引才专场宣讲会,http://news.bnu.edu.cn/zx/ttgz/114561.htm,1100
2019-12-19,中国政法实务大讲堂首次走进北师大 中央政法委副秘书长景汉朝为法学院师生授课,http://news.bnu.edu.cn/zx/ttgz/114513.htm,537
2019-12-16,北京师范大学举行第十届“相聚之歌——北京留学生之夜”,http://news.bnu.edu.cn/zx/ttgz/114447.htm,2224
2019-12-13,北京师范大学举行120周年校庆倒计时1000天启动仪式,http://news.bnu.edu.cn/zx/ttgz/114430.htm,3282
2019-12-09,北京师范大学2019年京师青年学者论坛举行,http://news.bnu.edu.cn/zx/ttgz/114317.htm,3471
2019-12-09,北京师范大学党委召开“不忘初心、牢记使命”主题教育专题民主生活会,http://news.bnu.edu.cn/zx/ttgz/114290.htm,1201
2019-12-09,北师大举办时代青年说：“大国攻坚•决战2020”——精准扶贫与青年担当专题论坛暨演讲比赛,http://news.bnu.edu.cn/zx/ttgz/114285.htm,991
2019-12-09,高等师范院校基础教育工作研究会第七届年会举行,http://news.bnu.edu.cn/zx/ttgz/114310.htm,466
2019-12-05,广东省国强公益基金会向北师大捐赠设立凉山教育扶贫基金,http://news.bnu.edu.cn/zx/ttgz/114210.htm,932
2019-12-05,【光明日报】王树荫：厘清立德树人根本任务中“德”的含义,http://news.bnu.edu.cn/zx/ttgz/114190.htm,639
2019-12-04,顾明远、滕珺：《中国教育现代化2035》与全球可持续发展教育目标实现,https://mp.weixin.qq.com/s/QvRNEMMRmly1h8L5_QEFKg,1
2019-12-03,教育学科服务国家重大战略发展研讨会暨北京师范大学教育学部成立十周年庆典举行,http://news.bnu.edu.cn/zx/ttgz/114127.htm,1802
