,用户名,用户主页,评分,评分时间,赞同数量,评论详情
0,https://www.douban.com/people/lingrui1995/,凌睿,30,2019-01-09 11:01:24,5900,"捕蛇村红叶似火、风景如画，村外崇山峻岭、层林尽染，永州城流光溢彩、灯火辉煌。
水墨风非常惊艳，漫天蒲公英无比浪漫，纸人军团极致震撼，动作戏让人瞠目结舌。
小白最仙女，小青最妖娆，狐妖最邪魅，蛇母最霸气，个个风华绝代，英姿飒爽，国漫（严格的说是合拍）终于不再玛丽苏、傻白甜。
“人间多的是长了两只脚的恶人，长了条尾巴又怎么样”最深刻；
“我的法力都被吸光了”“这下你再也推不开我了”最催泪。
片尾又和《白蛇传》的民间传说无缝衔接，解释了白素贞和许仙一见钟情的原因，小狗“肚兜”也修足福分，转世为人，成为许仙的姐夫。
美术登峰造极，画面美不胜收，缺点在于剧情比较简单，节奏略显沉闷，总体称得上“优秀”二字。
今年年初，中美合拍的《白蛇：缘起》即将正式上映，文体两开花，弘扬中华文化，希望大家多多关注。"
1,https://www.douban.com/people/movieater/,女神的秋裤,40,2019-01-05 18:15:12,4905,2019年的第一份国产惊喜，超出预期，虽然还有人物表情动作略显僵硬的通病，但已经比《风语咒》要好，而且画面精美，构图讲究，中国风终于不再是素材的堆砌，而是拍出了古典韵味，实在难得，诚意作品，也有水平。
2,https://www.douban.com/people/rayland/,壹安²,50,2019-01-10 23:36:17,2751,国漫啊国漫，与其称之为所谓的“崛起”，不如说“魂儿”一直都在，只是“皮囊”总是染上别的颜色。《白蛇：缘起》几乎是近几年的国漫第一次敢把“爱情”主题放在第一位的，用缘分的主题、高端的国风，保证了“皮囊”纯正好看。还是要感谢有这些认真的国漫人，足以值得我们骄傲。
3,https://www.douban.com/people/157276889/,沧海一小生,40,2019-01-11 00:06:32,3636,画面处理让人惊艳，那些如画风景栩栩如生、那些打斗的场面也是细腻、水平颇高；影片源于古老的故事，这次却另辟蹊径，他们居然要并肩作战了；中美合作，动画片整体制作偏美风，所以人物可能让你有些许熟悉感，比如女生特有花木兰的痕迹，但是男生怎么像胡歌哩，难道制作方看了仙剑，哈哈哈；不过瑕不掩瑜，片子值得一看，另外音乐也是让人心醉！
4,https://www.douban.com/people/cheesecakehouse/,一口吃掉小蛋糕,50,2019-01-03 21:16:28,1598,"boss真的不是灭霸吗？蛇母为什么那么像安以轩。所以这个算十五禁了吧？猝不及防的床戏啊！开篇的水墨风实在太美了，如果全程死磕水墨风会不会更惊艳呢？不过影片画风也是无敌了
！背景太精细了！仿佛是实景拍摄。结尾的青城山下回忆杀！"
5,https://www.douban.com/people/144459333/,远世祖,40,2019-01-05 18:17:19,817,惊喜之作！对于国漫，我们向来苛责的不是技术，而是创作者究竟有没有造梦的野心，以及讲好故事的耐心。《白蛇》无疑是成功的，画面帧帧质感，动作高度拟人，情节紧凑转合，完全不给人机会跑神。每个人物都有吸睛点，故事走向有几处想要往经典剧版靠又巧妙弹开作新。蒲公英的告白和魂飞魄散生死劫，又动情又泪目。看完走出影院，我有那么一瞬间的恍然，为一人心，伏地为妖，谈情说爱，真好呀！
6,https://www.douban.com/people/yishenmanli/,熊升树,50,2019-01-06 12:36:10,1279,追光的动画一直在看，这部剧本终于靠谱了，几个人物几方势力的矛盾冲突铺垫合理而又层层递进，作为一个脱胎于烂熟传说的故事发展却十分吸引人，各种细节也充满了想象力的闪光。人物塑造也很出彩，小白这么主动还有情欲戏我超喜欢，斜马尾的毒舌小青也很带感，许宣居然能想到做妖精想必那一夜非常销魂……希望追光能把前几部赔的都挣回来吧
7,https://www.douban.com/people/144166634/,宇航员,50,2019-01-11 09:17:44,228,同为动漫行业工作者，点映的人不多，个人观影可能更多关注了技术层面，我觉得做的很好，瑕疵肯定是有的，不过整体瑕不掩瑜。画面唯美，国风浓郁，配乐剧情合格，多一些鼓励，希望可以越做越好，我在思考动漫对于除开行业内和热爱者的观众的接受度和观影时侧重点的不同。
8,https://www.douban.com/people/diewithme/,王大根,30,2019-01-09 20:08:32,887,原来是白蛇传前传，前半部分像古早的香港武侠电影，后半部分是巨蟒灾难片，有些美术设计还挺有意思，故事就还是刚认识三天就爱到天崩地裂的真空爱情。你说你一个以爱情为所有情节基础的动画，就不能把男主角设计得帅气一点吗？那么路人脸的男主谁爱得进去啊！
9,https://www.douban.com/people/52057602/,星野流魂,50,2019-01-09 20:48:58,125,这个结尾真的漂亮，轮回的故事总是那么富有情感的张力
